Year Created,Source,Creator,Thumbnail,Graph Type,Title,Notes,Brief Creator,Brief Title,Source URL,Page #,Historical period,Folder Link,Priority,Status,Website,ID,Domain,Teacher,Slow Reveal Order,Notes
1900,The Georgia Negro Collection/Exhibition (Plate 43),Du Bois,,Chart,Occupations in Which American Negroes are Engaged,,,,https://medium.com/nightingale/discovering-a-new-chart-from-w-e-b-du-boiss-the-exhibition-of-american-negros-part-6-66e7b340b90c,,,,,,,,#N/A,,,
1900,The Georgia Negro Collection/Exhibition (Plate 44),Du Bois,,Other,Proportion of White and Negroes in the Different Classes of Occupation in the United States,,,,https://medium.com/nightingale/discovering-a-new-chart-from-w-e-b-du-boiss-the-exhibition-of-american-negros-part-6-66e7b340b90c,,,,,,,,#N/A,,,
1900,The Georgia Negro Collection/Exhibition (Plate 45),Du Bois,,Other,"Occupations in Which 10,000 or More American Negros are Engaged",,,,https://medium.com/nightingale/discovering-a-new-chart-from-w-e-b-du-boiss-the-exhibition-of-american-negros-part-6-66e7b340b90c,,,,,,,,#N/A,,,
1900,The Georgia Negro Collection/Exhibition (Plate 46),Du Bois,,Chart,Number of Negro Teachers in the Public Schools of the United States,,,,https://medium.com/nightingale/data-journalism-in-the-study-of-w-e-b-du-bois-the-negro-problem-part-2-of-4-e5ea9b976adc,,,,,,,,#N/A,,,
1900,The Georgia Negro Collection/Exhibition (Plate 47),Du Bois,,Chart,Illiteracy of the American Negroes Compared With That of Other Nations,,,,https://www.loc.gov/item/2014645352/,,,https://drive.google.com/drive/folders/1LWiEfeI9He5y43WyMmITy9g3E-J7b5sB,,Recreation Complete,,58,loc,,,
1900,The Georgia Negro Collection/Exhibition (Plate 48),Du Bois,,Chart,Enrollment of the Negro Commom Schools of the Former Slave States of the United States,,,,https://www.loc.gov/item/2014645353/,,,,,,,,loc,,,
1900,The Georgia Negro Collection/Exhibition (Plate 49),Du Bois,,Chart,Proportion of total Negro children of school age who are enrolled in the public schools,,,,https://www.gisweekatncstate.org/data-visualization-exhibits/%5Ba-series-of-statistical-charts-illustrating-the-condition-of-the-descendants-of-former-african-slaves-now-in-residence-in-the-united-states-of-america%5D-proportion-of-total-negro-children-of-school-age-who-are-enrolled-in-the-public-schools,,,,,,,,gisweekatncstate,,,
1900,The Georgia Negro Collection/Exhibition (Plate 50),Du Bois,,Other,The Rise of the Negroes From Slavery to Freedom in One Generation,,,,https://www.loc.gov/item/2014645355/,,,,,,,,loc,,,
1900,The Georgia Negro Collection/Exhibition (Plate 51),Du Bois,,Graph,Proportion of Freemen and Slaves of American Negroes,,,,https://www.loc.gov/item/2014645356/,,,,,,,,loc,,,
1900,The Georgia Negro Collection/Exhibition (Plate 52),Du Bois,,Chart,City and Rural Population Among American Negroes in the Former Slave States,,,,https://www.loc.gov/item/2014645357/,,,,,,,,loc,,,
1900,The Georgia Negro Collection/Exhibition (Plate 53),Du Bois,,Other,Conjugal Condition of American Negroes According to Age Periods,,,,https://www.loc.gov/pictures/item/2014645358/,,,,,,,,loc,,,
1900,The Georgia Negro Collection/Exhibition (Plate 54),Du Bois,,Other,The Amalgamation of the White and Black Elements of the Population in the United States,,,,https://www.loc.gov/item/2014645360/,,,,,,,,loc,,,
1900,The Georgia Negro Collection/Exhibition (Plate 55),Du Bois,,Other,Proprietes Contribuables Des Negres Dans Trois Etats des Etats Unis,,,,https://www.loc.gov/resource/ppmsca.33917/?loclr=blogmap,,,,,,,,loc,,,
1900,The Georgia Negro Collection/Exhibition (Plate 56),Du Bois,,Chart,Negro Landholders in Various States of the United States,,,,https://loc.getarchive.net/media/a-series-of-statistical-charts-illustrating-the-condition-of-the-descendants-7,,,https://drive.google.com/drive/folders/1GBoKFlZs_oL8BBPopT596CJxCD2Ij_gj,,Recreation Complete,,35,getarchive,,,
1900,The Georgia Negro Collection/Exhibition (Plate 57),Du Bois,,Other,Negro Business Men in the United States,,,,https://www.loc.gov/item/2014645363/,,,,,,,,loc,,,
1900,The Georgia Negro Collection/Exhibition (Plate 58),Du Bois,,Other,Pauperism Among American Negroes,,,,https://www.loc.gov/item/2014645375/,,,,,,,,loc,,,
1900,The Georgia Negro Collection/Exhibition (Plate 59),Du Bois,,Other,Morality of American Negroes,,,,https://www.loc.gov/item/2014645374/,,,,,,,,loc,,,
1900,The Georgia Negro Collection/Exhibition (Plate 60),Du Bois,,Other,Crime Among American Negroes,,,,https://www.loc.gov/item/2014645376/,,,,,,,,loc,,,
1900,The Georgia Negro Collection/Exhibition (Plate 61),Du Bois,,Other,American Negro Newspapers and Periodicals,,,,https://medium.com/nightingale/the-legacy-of-w-e-b-du-bois-the-exhibit-of-american-negroes-part-5-6b735a426c68,,,,,,,,#N/A,,,
1900,The Georgia Negro Collection/Exhibition (Plate 62),Du Bois,,Other,Religion of American Negroes,,,,https://www.gisweekatncstate.org/data-visualization-exhibits/%5Ba-series-of-statistical-charts-illustrating-the-condition-of-the-descendants-of-former-african-slaves-now-in-residence-in-the-united-states-of-america%5D-religion-of-american-negroes,,,,,,,,gisweekatncstate,,,
1900,The Georgia Negro Collection/Exhibition (Plate 63),Du Bois,,Other,Statistics of Negro Church Organizations,,,,https://www.loc.gov/item/2014645379/,,,,,,,,loc,,,
1913,W.E.B. Du Bois’s The Georgia Negro: A Social Study (Figure 2),Du Bois,,Chart,Morality From Consumption- General Population,,,,https://blogs.scientificamerican.com/sa-visual/w-e-b-du-bois-scientific-american-and-data-stories-of-the-early-1900s/,,,https://drive.google.com/drive/folders/1Pg1PoCprZrSitjaBirbkVjMHFvUw1N04,,Recreation Complete,,30,scientificamerican,,,
1912,W.E.B. Du Bois’s The Georgia Negro: A Social Study (Figure 3),Du Bois,,Chart,Morality of American Negros,,,,https://blogs.scientificamerican.com/sa-visual/w-e-b-du-bois-scientific-american-and-data-stories-of-the-early-1900s/,,,,,,,,scientificamerican,,,
1912,W.E.B. Du Bois’s The Georgia Negro: A Social Study (Figure 4),Du Bois,,Map,Percentage of Increase in Urban Populations 1900-1910,,,,https://blogs.scientificamerican.com/sa-visual/w-e-b-du-bois-scientific-american-and-data-stories-of-the-early-1900s/,,,,,,,,scientificamerican,,,
1912,W.E.B. Du Bois’s The Georgia Negro: A Social Study (Figure 6),Du Bois,,Chart,Population of Europe,,,,https://blogs.scientificamerican.com/sa-visual/w-e-b-du-bois-scientific-american-and-data-stories-of-the-early-1900s/,,,https://drive.google.com/drive/folders/1MQ1lATY9Didb4ARNqDslw8YZSORcsA-l,,Recreation Complete,,40,scientificamerican,,,
2016,United States Census Burean (Figure 1),U.S. Census Bureau,,Chart,"Voters Among the Total, Citizen, and Registered
 Voting-Age Populations: 2016",,,,https://www.census.gov/content/dam/Census/library/publications/2018/demo/P20-582.pdf,,,,,,,,census,,,
2016,United States Census Bureau (Figure 2),U.S. Census Bureau,,Chart,"Composition of American Voters by Age: Presidential Elections, 1980–2016",,,,https://www.census.gov/content/dam/Census/library/publications/2018/demo/P20-582.pdf,,,,,,,,census,,,
2016,United States Census Bureau (Figure 3),U.S. Census Bureau,,Chart,"Composition of American Voters by Race and Hispanic Origin: Presidential Elections, 1980–2016",,,,https://www.census.gov/content/dam/Census/library/publications/2018/demo/P20-582.pdf,,,,,,,,census,,,
2016,United States Census Bureau (Figure 4),U.S. Census Bureau,,Chart,"Composition of American Voters by Educational Attainment: Presidential Elections, 1980–2016",,,,https://www.census.gov/content/dam/Census/library/publications/2018/demo/P20-582.pdf,,,,,,,,census,,,
2016,United States Census Bureau (Figure 5),U.S. Census Bureau,,Chart,"Composition of American Voters by Sex: Presidential Elections, 1980–2016",,,,https://www.census.gov/content/dam/Census/library/publications/2018/demo/P20-582.pdf,,,,,,,,census,,,
2016,United States Census Bureau (Figure 6),U.S. Census Bureau,,Chart,Composition of American Voters by Age and Race and Hispanic Origin: 2016,,,,https://www.census.gov/content/dam/Census/library/publications/2018/demo/P20-582.pdf,,,,,,,,census,,,
